provider,num_vecs,vectors sampled,brute time (ms),reduced time (ms),lsh time (ms),reduced vec. recall,lsh recall
cohere,500000,79000,87.2492,0,45.6576,0,1.0
cohere,500000,80000,87.2492,0,45.6424,0,1.0
cohere,500000,81000,87.2492,0,43.1347,0,1.0
cohere,500000,82000,87.2492,0,45.6346,0,1.0
cohere,500000,83000,87.2492,0,50.5212,0,1.0
cohere,500000,84000,87.2492,0,53.075,0,1.0
cohere,500000,85000,87.2492,0,49.3513,0,1.0
cohere,500000,86000,87.2492,0,50.0752,0,1.0
cohere,500000,87000,87.2492,0,123.9807,0,1.0
cohere,500000,88000,87.2492,0,53.6386,0,1.0
cohere,500000,89000,87.2492,0,51.4632,0,1.0
cohere,500000,90000,87.2492,0,51.4391,0,1.0
cohere,500000,91000,87.2492,0,51.4412,0,1.0
cohere,500000,92000,87.2492,0,69.4048,0,1.0
cohere,500000,93000,87.2492,0,51.7145,0,1.0
cohere,500000,94000,87.2492,0,59.4812,0,1.0
cohere,500000,95000,87.2492,0,51.3102,0,1.0
cohere,500000,96000,87.2492,0,52.7402,0,1.0
cohere,500000,97000,87.2492,0,51.7434,0,1.0
cohere,500000,98000,87.2492,0,53.2521,0,1.0
cohere,500000,99000,87.2492,0,51.543,0,1.0
cohere,500000,100000,87.2492,0,60.0781,0,1.0
